V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,Fracaso
0.003273,1.42152,0.200667,0.233376,0.021894,0.74753,0.596917,0.266451,0.676722,0.012711,0.742506,0.00666,-0.053161,27,0
0.02823,0.991331,-0.005038,0.100256,0.06854,0.826726,0.467162,0.208599,0.576099,0.134257,0.789735,0.008195,-0.176378,22,0
0.008977,1.145176,0.055293,-0.052901,0.046784,1.124367,0.882802,0.484039,0.436164,0.066454,0.86491,0.00117,0.095119,27,0
0.03663,1.844581,0.377359,0.131776,0.075825,0.949455,1.515207,0.331168,0.82416,0.164976,0.777969,0.159689,0.033937,26,0
0.025965,0.760032,-0.13493,0.229904,0.052769,0.73618,0.387352,0.179428,0.427354,0.100526,0.741712,0.03358,0.000666,10,0
0.005915,0.887348,-0.072194,0.106115,0.032649,0.929394,0.543524,0.199663,0.568663,0.037088,0.84052,0.003672,-0.10861,28,0
0.006051,1.14777,0.100584,0.076005,0.072624,1.005501,0.693336,0.218309,0.78126,0.059899,0.898985,0.009474,-0.031923,11,0
0.006112,1.173519,0.080871,0.190209,0.035996,0.598461,0.473905,0.33726,0.546936,0.031075,0.803325,0.01842,-0.043266,13,0
0.002888,0.966162,-0.022689,0.072991,0.025027,1.595364,0.6525,0.215534,0.647835,0.025346,0.886058,0.03154,-0.020003,25,0
0.035585,1.226372,0.079822,0.378129,0.078354,0.812858,0.563859,0.25536,0.432434,0.090772,0.607972,0.024379,0.301538,32,0
0.130892,3.207018,0.306688,0.466468,0.209237,0.571188,2.495197,0.379366,0.445648,0.271744,0.518326,0.182727,0.300689,18,0
0.001332,1.011579,0.007991,-0.036301,0.033875,1.218754,0.809795,0.168385,0.698111,0.009414,0.858506,0.008934,0.001427,24,0
0.043262,1.289941,0.201181,0.158476,0.117698,1.109942,0.694791,0.088248,0.89505,0.198558,0.782117,0.06075,-0.326636,46,0
0.046046,1.357448,0.207334,0.224078,0.07356,0.950475,1.087833,0.068179,0.787374,0.130894,0.648219,0.050423,-0.187845,61,0
0.005538,1.105526,0.046716,0.070611,0.038995,0.768605,0.860786,0.340249,0.489407,0.025516,0.78294,0.01373,-0.030501,29,0
0.015768,1.652693,0.291932,0.527115,0.02203,1.109548,1.642831,0.022823,0.739204,0.029756,0.470095,0.15829,-0.325064,28,0
0.012492,0.960828,-0.030297,0.126456,0.0552,1.221973,0.596832,0.08962,0.743148,0.091228,0.863066,0.057414,-0.032206,28,0
0.046052,1.030409,0.016967,0.109658,0.066264,0.69124,0.927464,0.262266,0.574914,0.256148,0.820213,0.109382,-0.225121,43,0
0.24904,1.578101,0.354894,0.36807,0.386097,1.586764,1.234397,0.007345,0.968791,0.657518,0.621242,0.229824,-0.073311,46,0
0.052315,0.887872,-0.048057,0.283585,0.082956,1.11629,0.674073,0.26808,0.380533,0.17247,0.69667,0.10839,0.125081,46,0
0.023882,1.133235,0.08693,0.141959,0.067973,1.308582,0.772779,0.083191,0.739384,0.09034,0.735645,0.00618,-0.15068,43,0
0.02857,1.04214,0.030911,0.155655,0.06886,1.004878,0.664615,0.046673,0.764457,0.129993,0.780219,0.012474,-0.102096,27,0
0.020821,1.176951,0.085455,0.155043,0.044379,0.802727,0.798474,0.319937,0.568387,0.105622,0.802868,0.074903,0.030372,22,0
0.017311,0.612629,-0.215169,0.050067,0.062883,1.177273,0.421959,0.304693,0.340291,0.123785,0.860153,0.010201,0.16802,10,0
0.005642,1.073809,0.049487,0.170645,0.047933,0.917012,0.705809,0.137159,0.719967,0.029329,0.807639,0.103796,-0.157479,13,0
0.132542,2.393518,0.445794,0.439434,0.159671,1.144864,2.280261,0.197898,0.7657,0.274871,0.517804,0.088346,0.223026,73,0
0.066472,1.965094,0.349888,0.132104,0.110719,1.470982,1.936006,0.33719,0.712432,0.221376,0.699734,0.130939,-0.108832,62,0
0.052077,1.015246,0.006071,0.255714,0.066219,1.054116,0.685617,0.313381,0.404277,0.180565,0.711586,0.009997,0.07168,86,0
0.104584,1.547816,0.187891,0.142026,0.114533,1.815624,1.182225,0.229395,0.530872,0.244569,0.572376,0.049205,0.131351,96,0
0.005565,0.718184,-0.164881,-0.020162,0.022108,0.842663,0.685513,0.186063,0.420186,0.024314,0.77113,0.047625,-0.075733,46,0
0.012549,1.463273,0.213984,0.326136,0.023428,1.230449,1.194016,0.007275,0.67588,0.02364,0.469171,0.000445,0.045863,24,0
0.003111,4.642653,0.715789,0.02424,0.013875,0.466794,1.262221,0.771854,0.912291,0.098301,0.968356,0.0491,-0.005755,13,0
0.001364,0.96127,-0.006217,-0.045486,0.014792,0.325435,0.929407,0.381533,0.1543,0.002979,0.54205,0.020075,0.174932,70,0
0.027048,1.712253,0.199634,0.085073,0.050644,1.05716,1.637473,0.353427,0.479919,0.073844,0.633711,0.082462,0.260571,33,0
0.007289,0.346595,-0.391012,0.167804,0.037444,0.620832,0.268245,0.199215,0.20741,0.036022,0.797637,0.000336,0.101317,10,0
0.009451,1.191631,0.10044,0.133546,0.019846,0.74718,0.994715,0.190559,0.624571,0.033127,0.71469,0.05648,-0.101308,71,0
0.012189,0.854563,-0.117168,0.099529,0.037128,1.618325,0.292204,0.081512,0.68846,0.108003,0.88714,0.030552,-0.393846,47,0
0.030614,1.162012,0.122596,-0.013212,0.080858,2.175499,1.155974,0.135919,0.879307,0.285128,0.89263,0.025341,-0.207406,62,0
0.00781,0.932147,-0.050425,0.120689,0.038647,1.11724,0.626666,0.103113,0.692728,0.050804,0.846266,0.027618,-0.071757,22,0
0.038525,0.784866,-0.100495,0.069738,0.052096,0.737404,0.501091,0.284045,0.366633,0.154826,0.751174,0.012989,0.068793,16,0
0.017765,4.017704,0.659207,0.636415,0.043185,0.893976,4.013707,0.091827,0.877653,0.025756,0.310273,0.453669,1.070299,71,0
0.031501,1.066312,0.047517,0.058563,0.069161,2.279404,0.309364,0.208441,0.764076,0.420012,0.925,0.153879,-0.137152,31,0
0.027055,1.045305,0.01598,0.165141,0.072111,0.543111,0.650638,0.424239,0.368699,0.121302,0.776958,0.008917,0.001848,10,0
0.047642,1.252363,0.196514,0.201647,0.072268,0.745324,0.520337,0.01915,0.975211,0.235671,0.797847,0.042904,-0.268396,43,0
0.000082,3.323545,0.384324,0.4149,0.015727,0.262088,3.263163,0.11444,0.549728,0.000113,0.279845,0.430385,-0.150205,72,0
0.082643,1.060221,0.039884,0.223509,0.115135,1.048053,0.561045,0.095313,0.702171,0.340939,0.757601,0.048751,-0.113306,28,0
0.014932,1.130952,0.075337,0.137579,0.058728,0.930518,0.176626,0.220333,0.650636,0.073064,0.795632,0.004148,0.068999,1,0
0.036076,3.570384,0.29569,0.230714,0.039439,0.585106,3.570384,0.537615,0.410728,0.103862,0.652653,0.38569,0.354109,62,0
0.012576,1.250171,0.11046,0.026099,0.027995,0.753118,1.250171,0.241762,0.551996,0.039711,0.683298,0.105238,-0.159811,46,0
0.000963,0.763371,-0.10619,0.045738,0.018441,0.841066,0.502115,0.165524,0.342573,0.002497,0.614287,0.027564,0.0696,16,0
0.016363,1.281253,0.095086,0.34787,0.037313,0.931187,1.281229,0.280952,0.433165,0.04295,0.619031,0.053598,0.038653,61,0
0.166575,4.932366,0.523504,0.791428,0.167876,1.338373,4.185267,0.032029,0.656631,0.199528,0.165156,0.002821,0.714918,10,0
